               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.033735,             0.08265,           0.0031256,             0.87269,             0.86813,             0.89447,             0.45418,            0.037565,            0.067536,             0.00361,             0.00751,             0.00751,             0.00751
                  85,             0.03368,            0.084083,           0.0032103,             0.85491,             0.87479,             0.87772,             0.44283,            0.037759,            0.068643,           0.0038079,             0.00748,             0.00748,             0.00748
                  86,            0.034134,            0.083359,           0.0029413,             0.86805,             0.85578,             0.88499,             0.44811,            0.037946,            0.067988,           0.0039367,             0.00745,             0.00745,             0.00745
                  87,            0.033802,            0.083088,           0.0030911,             0.85549,             0.85786,             0.89288,             0.44147,             0.03834,            0.068277,           0.0037496,             0.00742,             0.00742,             0.00742
                  88,            0.033929,            0.083592,           0.0029582,             0.86532,             0.87379,             0.88194,             0.45041,            0.038077,            0.068082,           0.0033566,             0.00739,             0.00739,             0.00739
                  89,            0.033418,            0.083316,           0.0029104,              0.8569,             0.84328,             0.88878,             0.44685,            0.038185,            0.068859,           0.0037932,             0.00736,             0.00736,             0.00736
                  90,            0.033695,            0.082688,           0.0029545,             0.85891,             0.86391,             0.88245,             0.44585,            0.038068,            0.067947,           0.0036772,             0.00733,             0.00733,             0.00733
                  91,            0.033672,            0.085067,           0.0032143,             0.85514,             0.85396,             0.87173,             0.44141,            0.037799,            0.067817,           0.0038682,              0.0073,              0.0073,              0.0073
                  92,            0.033915,            0.083853,           0.0029139,              0.8408,             0.87274,             0.88451,             0.45127,            0.037773,            0.067822,           0.0043407,             0.00727,             0.00727,             0.00727
                  93,              0.0335,            0.082148,           0.0028848,             0.88142,             0.85649,             0.88579,              0.4436,            0.038313,            0.068836,           0.0037825,             0.00724,             0.00724,             0.00724
                  94,            0.033659,            0.084284,           0.0028774,             0.86272,             0.86411,             0.88102,             0.44637,            0.038024,            0.069166,           0.0037976,             0.00721,             0.00721,             0.00721
                  95,              0.0334,            0.081877,           0.0028031,             0.86348,             0.87047,              0.8769,             0.43848,            0.038264,            0.069071,           0.0035573,             0.00718,             0.00718,             0.00718
                  96,            0.033194,            0.081044,           0.0028508,             0.85992,              0.8515,             0.87081,              0.4339,            0.038695,            0.070601,           0.0035649,             0.00715,             0.00715,             0.00715
                  97,             0.03328,            0.081063,           0.0030345,             0.85679,             0.86871,             0.88394,             0.44047,            0.038372,            0.069335,           0.0039635,             0.00712,             0.00712,             0.00712
                  98,            0.033255,            0.081596,           0.0028359,             0.87045,             0.84122,             0.88025,             0.43203,            0.038484,            0.069379,            0.004347,             0.00709,             0.00709,             0.00709
                  99,            0.033297,            0.082449,           0.0028413,             0.86016,             0.85366,             0.87722,             0.43801,            0.038296,            0.069544,           0.0039696,             0.00706,             0.00706,             0.00706
                 100,            0.033616,            0.082056,           0.0028859,             0.88438,             0.85998,             0.89153,             0.44331,            0.037841,            0.068874,           0.0035997,             0.00703,             0.00703,             0.00703
                 101,            0.033259,            0.082546,            0.002924,             0.88441,             0.85455,             0.89054,             0.44137,            0.038292,            0.070098,           0.0036371,               0.007,               0.007,               0.007
                 102,            0.033141,            0.081402,           0.0028347,             0.87258,             0.86377,             0.88798,             0.44904,            0.037924,            0.068467,           0.0038962,             0.00697,             0.00697,             0.00697
                 103,            0.033286,            0.080396,           0.0027438,             0.86027,             0.85242,             0.88184,             0.44362,            0.038246,            0.068551,            0.003563,             0.00694,             0.00694,             0.00694
                 104,            0.033422,            0.082026,           0.0030662,             0.86223,             0.86687,              0.8892,             0.44158,            0.038361,            0.069575,           0.0036678,             0.00691,             0.00691,             0.00691
                 105,            0.032922,            0.083228,           0.0027447,             0.86052,             0.84223,             0.86768,             0.43487,            0.038629,            0.071026,           0.0044174,             0.00688,             0.00688,             0.00688
                 106,            0.032839,            0.080928,           0.0029456,             0.87159,             0.82933,             0.85872,             0.42944,            0.038746,            0.071255,           0.0041791,             0.00685,             0.00685,             0.00685
                 107,             0.03268,            0.080508,            0.002724,             0.85897,             0.85055,             0.87484,             0.43426,            0.038332,             0.07017,           0.0042131,             0.00682,             0.00682,             0.00682
                 108,            0.033214,            0.081771,            0.002786,             0.85872,              0.8515,             0.86881,             0.43432,            0.038631,             0.07057,           0.0041941,             0.00679,             0.00679,             0.00679
                 109,            0.033245,            0.082767,           0.0028276,             0.87138,             0.84258,             0.87559,             0.44488,            0.038301,            0.070464,           0.0041834,             0.00676,             0.00676,             0.00676
                 110,            0.032838,            0.081846,           0.0027429,             0.87755,             0.83913,             0.86403,             0.43412,             0.03859,             0.07053,           0.0044521,             0.00673,             0.00673,             0.00673
                 111,            0.032849,            0.081946,           0.0027092,             0.84537,             0.86865,             0.86761,             0.43315,            0.038318,            0.070577,           0.0040365,              0.0067,              0.0067,              0.0067
                 112,             0.03289,            0.081646,            0.002694,              0.8737,             0.83515,             0.85775,             0.42407,            0.038442,            0.071199,           0.0044075,             0.00667,             0.00667,             0.00667
                 113,            0.032514,            0.080674,            0.002687,             0.86825,             0.85779,             0.87637,              0.4376,            0.038315,            0.069334,           0.0038495,             0.00664,             0.00664,             0.00664
                 114,             0.03281,            0.081259,           0.0027239,             0.86181,             0.84761,             0.86006,             0.42788,            0.038758,            0.070667,           0.0040994,             0.00661,             0.00661,             0.00661
                 115,            0.032509,            0.079383,            0.002668,             0.84678,             0.85396,             0.86452,             0.43187,            0.038539,            0.070855,           0.0043798,             0.00658,             0.00658,             0.00658
                 116,            0.032792,            0.080488,            0.002641,             0.86962,             0.85615,              0.8792,             0.43704,            0.038593,            0.071944,           0.0041803,             0.00655,             0.00655,             0.00655
                 117,            0.032606,              0.0832,           0.0027001,             0.86097,             0.84002,             0.86774,             0.42372,            0.038965,            0.071541,           0.0043317,             0.00652,             0.00652,             0.00652
                 118,             0.03266,            0.082144,           0.0027454,             0.85994,             0.85392,             0.86918,             0.43534,            0.038424,            0.069894,            0.004415,             0.00649,             0.00649,             0.00649
                 119,            0.032607,            0.080521,           0.0027878,             0.85273,             0.84828,             0.86171,             0.43758,            0.038234,            0.069682,           0.0049673,             0.00646,             0.00646,             0.00646
                 120,            0.032666,            0.081857,           0.0026171,             0.85485,             0.85191,             0.86192,               0.426,            0.038544,             0.07075,           0.0047432,             0.00643,             0.00643,             0.00643
                 121,            0.032536,             0.08021,           0.0028269,              0.8746,             0.86459,             0.87666,             0.43198,            0.038738,            0.071163,           0.0044699,              0.0064,              0.0064,              0.0064
