               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.039828,            0.024603,           0.0075086,             0.54492,             0.72463,             0.64376,             0.37897,            0.026138,            0.013517,           0.0062002,             0.00592,             0.00592,             0.00592
                 138,            0.040571,            0.025151,           0.0075114,             0.55272,             0.71599,             0.64892,             0.38225,            0.026387,            0.013528,           0.0063869,             0.00589,             0.00589,             0.00589
                 139,             0.04009,             0.02523,            0.007336,             0.56996,             0.70992,             0.64962,             0.38383,            0.026348,            0.013611,           0.0061472,             0.00586,             0.00586,             0.00586
                 140,            0.040209,            0.025637,           0.0072743,             0.56042,             0.69501,             0.65696,               0.389,            0.025813,            0.013667,           0.0060324,             0.00583,             0.00583,             0.00583
                 141,            0.040021,            0.024267,           0.0073158,             0.54103,             0.72411,             0.64339,             0.37968,            0.026033,            0.013693,           0.0064275,              0.0058,              0.0058,              0.0058
                 142,            0.039982,            0.024425,           0.0073176,              0.5411,              0.7329,             0.64634,             0.38266,            0.025832,            0.013671,           0.0064967,             0.00577,             0.00577,             0.00577
                 143,            0.039793,            0.024753,            0.007184,             0.54847,              0.7105,             0.64057,             0.37759,            0.025651,            0.013758,           0.0065192,             0.00574,             0.00574,             0.00574
                 144,            0.039993,             0.02508,           0.0073788,             0.54746,             0.70357,             0.63955,             0.37607,             0.02581,            0.013811,           0.0065344,             0.00571,             0.00571,             0.00571
                 145,             0.03978,            0.024734,           0.0073401,             0.55535,             0.69195,             0.65126,             0.38395,            0.026269,             0.01365,           0.0067978,             0.00568,             0.00568,             0.00568
                 146,            0.040538,            0.024747,           0.0071588,             0.55625,             0.68661,             0.65004,             0.38201,             0.02643,            0.013589,           0.0069849,             0.00565,             0.00565,             0.00565
                 147,            0.039482,            0.024599,           0.0071086,             0.54697,             0.69382,             0.64327,             0.37863,            0.026324,            0.013625,           0.0068714,             0.00562,             0.00562,             0.00562
                 148,            0.039997,             0.02517,           0.0073219,             0.56025,             0.67504,              0.6451,             0.37843,             0.02607,            0.013738,           0.0064447,             0.00559,             0.00559,             0.00559
                 149,            0.040104,            0.024265,           0.0072843,             0.54565,             0.71468,             0.65127,             0.38518,            0.025976,             0.01365,           0.0063525,             0.00556,             0.00556,             0.00556
                 150,            0.039896,            0.025253,           0.0072894,             0.53556,              0.7432,             0.65565,              0.3875,             0.02575,            0.013609,            0.006303,             0.00553,             0.00553,             0.00553
                 151,            0.039507,            0.024761,           0.0070432,             0.54732,             0.72576,             0.66584,              0.3918,            0.025932,            0.013593,           0.0060701,              0.0055,              0.0055,              0.0055
                 152,            0.040005,            0.024411,           0.0069478,             0.53298,             0.72516,             0.65693,             0.39093,             0.02597,            0.013679,            0.006128,             0.00547,             0.00547,             0.00547
                 153,            0.040082,            0.024258,           0.0071428,             0.54895,             0.69691,             0.65275,             0.38742,            0.026221,            0.013644,           0.0061939,             0.00544,             0.00544,             0.00544
                 154,            0.040042,            0.024599,           0.0071411,             0.53984,             0.72367,             0.65523,             0.38769,            0.026268,            0.013551,           0.0064876,             0.00541,             0.00541,             0.00541
                 155,             0.03984,            0.024902,           0.0070206,               0.559,             0.69889,             0.65996,             0.39057,            0.025654,            0.013607,           0.0064611,             0.00538,             0.00538,             0.00538
                 156,            0.039975,             0.02404,             0.00718,             0.56182,             0.69963,             0.65995,              0.3909,            0.025617,             0.01369,           0.0063376,             0.00535,             0.00535,             0.00535
                 157,            0.039716,            0.024152,           0.0069537,             0.57817,             0.68373,             0.65844,             0.38943,            0.025542,            0.013694,           0.0066021,             0.00532,             0.00532,             0.00532
                 158,            0.039672,            0.024659,           0.0069898,             0.55707,             0.70779,             0.66197,             0.39168,            0.025537,             0.01368,           0.0063153,             0.00529,             0.00529,             0.00529
                 159,            0.039612,            0.024165,           0.0070721,             0.57268,             0.69473,             0.65476,             0.38787,            0.025872,            0.013722,            0.006524,             0.00526,             0.00526,             0.00526
                 160,              0.0394,            0.024722,           0.0069498,             0.55335,             0.71372,             0.65584,             0.38894,            0.025281,            0.013712,            0.006547,             0.00523,             0.00523,             0.00523
